Source,Type,section-nr,book-nr
,,1,1
,,2,1
,,5,1
homeros,individual,5,1
platon_phil,individual,5,1
,,6,1
canonical-authors,group,6,1
poetry,group,6,1
poetry.tragedy,group,6,1
,,7,1
undefined,group,7,1
,,8,1
poetry,group,8,1
,,9,1
,,10,1
,,11,1
,,12,1
,,13,1
aristophanes_com,individual,13,1
,,14,1
poetry,group,14,1
,,15,1
,,16,1
,,17,1
attic,group,17,1
poetry.dithyramb,group,17,1
,,18,1
,,19,1
poetry,group,19,1
,,20,1
,,21,1
poetry.comedy,group,21,1
poetry.tragedy,group,21,1
,,22,1
,,23,1
,,24,1
attic,group,24,1
poetry,group,24,1
,,25,1
,,26,1
thoukydides,individual,26,1
,,27,1
,,28,1
,,29,1
solon,individual,29,1
,,30,1
poetry,group,30,1
,,31,1
poetry,group,31,1
boeotian,group,31,1
,,32,1
,,33,1
poetry,group,33,1
,,34,1
antiphon_rhet,individual,34,1
,,35,1
attic,group,35,1
,,36,1
,,37,1
sicilian,group,37,1
,,38,1
,,39,1
,,40,1
,,41,1
,,42,1
platon_phil or platon_com,individual,42,1
homeros,individual,42,1
,,43,1
,,44,1
,,45,1
,,46,1
,,47,1
,,48,1
,,49,1
,,50,1
hekataios,individual,50,1
herodotos,individual,50,1
,,51,1
,,52,1
,,53,1
,,54,1
,,55,1
,,56,1
,,57,1
homeros,individual,57,1
,,58,1
hesiodos,individual,58,1
,,59,1
,,60,1
,,61,1
thoukydides,individual,61,1
,,62,1
,,63,1
hesiodos,individual,63,1
attic,group,63,1
homeros,individual,63,1
,,64,1
platon_phil,individual,64,1
,,65,1
,,66,1
hesiodos,individual,66,1
attic,group,66,1
,,67,1
prose.oratory,group,67,1
,,68,1
,,69,1
,,70,1
homeros,individual,70,1
homeros,individual,70,1
,,71,1
menandros,individual,71,1
palaioi,group,71,1
,,72,1
,,73,1
,,74,1
doric,group,74,1
aeolic,group,74,1
,,75,1
undefined,group,75,1
hoi-polloi,group,75,1
palaioi,group,75,1
,,75,1
undefined,group,75,1
herodotos,individual,75,1
,,76,1
homeros,individual,76,1
hoi-polloi,group,76,1
homeros,individual,76,1
,,77,1
homeros,individual,77,1
homeros,individual,77,1
,,78,1
attic,group,78,1
,,79,1
menandros,individual,79,1
aristophanes_com,individual,79,1
menandros,individual,79,1
,,80,1
xenophon,individual,80,1
,,81,1
poetry,group,81,1
,,82,1
,,83,1
aristophanes_com,individual,83,1
thoukydides,individual,83,1
homeros,individual,83,1
,,84,1
,,85,1
,,86,1
,,87,1
,,88,1
,,89,1
,,90,1
,,91,1
,,92,1
,,93,1
poetry,group,93,1
,,94,1
poetry,group,94,1
xenophon,individual,94,1
demosthenes,individual,94,1
,,95,1
thoukydides,individual,95,1
poetry.tragedy,group,95,1
,,96,1
,,97,1
,,98,1
antiphon_rhet,individual,98,1
poetry,group,98,1
,,99,1
,,100,1
,,101,1
hypereides,individual,101,1
,,102,1
,,103,1
,,104,1
,,105,1
,,106,1
,,107,1
,,108,1
,,109,1
,,110,1
,,111,1
eupolis,individual,111,1
,,112,1
xenophon,individual,112,1
,,113,1
,,114,1
,,115,1
,,116,1
,,117,1
,,118,1
,,119,1
,,120,1
,,121,1
lysias,individual,121,1
,,122,1
demosthenes,individual,122,1
,,123,1
demosthenes,individual,123,1
,,124,1
,,125,1
thoukydides,individual,125,1
,,126,1
,,127,1
,,128,1
theban,group,128,1
laconian,group,128,1
attic,group,128,1
thessalian,group,129,1
,,129,1
,,130,1
,,131,1
,,132,1
,,133,1
homeros,individual,133,1
,,134,1
xenophon,individual,134,1
,,135,1
,,136,1
,,137,1
homeros,individual,137,1
thoukydides,individual,137,1
,,138,1
,,139,1
,,140,1
,,141,1
homeros,individual,141,1
platon_phil,individual,141,1
,,142,1
,,143,1
,,144,1
,,145,1
gorgias_ath,individual,145,1
eratosthenes,individual,145,1
,,146,1
,,147,1
,,148,1
,,149,1
,,150,1
thoukydides,individual,150,1
,,151,1
,,152,1
,,153,1
thoukydides,individual,153,1
herodotos,individual,153,1
,,154,1
,,155,1
,,156,1
thoukydides,individual,156,1
,,157,1
,,158,1
,,159,1
,,160,1
,,161,1
demosthenes,individual,161,1
,,162,1
hypereides,individual,162,1
,,163,1
,,164,1
,,165,1
,,166,1
,,167,1
,,168,1
,,169,1
,,170,1
,,171,1
homeros,individual,171,1
,,172,1
,,173,1
,,174,1
,,175,1
,,176,1
,,177,1
,,178,1
,,179,1
,,180,1
,,181,1
,,182,1
platon_phil,individual,182,1
xenophon,individual,182,1
,,183,1
homeros,individual,183,1
,,184,1
,,185,1
,,186,1
,,187,1
,,188,1
xenophon,individual,188,1
,,189,1
,,190,1
simon_ath,individual,190,1
,,191,1
xenophon,individual,191,1
,,192,1
,,193,1
,,194,1
